94 91  91 2  2 17  17 93  93 67  67 49  49 99  99 43  43 7  7 56  56 82  82 7  7 99  99 27  27 98  98 22  22 22  22 30  30 36  36 18  18 95  95 28  28 54  54 75  75 78  78 29  29 1  1 46  46 50  50 97  97 30  30 41  41 8  8 44  44 48  48 50  50 49  49 99  99 98  98 77  77 37  37 96  96 32  32 92  92 16  16 26  26 35  35 84  84 77  77 83
6 84  84 39  39 72  72 74  74 86  86 41  41 11  11 20  20 46  46 95  95 24  24 46  46 53  53 14  14 60  60 14  14 21  21 47  47 90  90 44  44 87  87 28  28 23  23 32  32 23  23 98  98 48  48 57  57 92  92 28  28 98  98 34  34 86  86 14  14 15  15 19  19 70  70 67  67 61  61 35  35 5  5 70  70 22  22 15  15 50  50 85  85 32  32 57  57 29  29 16

6 84  84 39  39 72  72 74  74 86  86 41  41 11  11 20  20 46  46 95  95 24  24 46  46 53  53 14  14 60  60 14  14 21  21 47  47 90  90 44  44 87  87 28  28 23  23 32  32 23  23 98  98 48  48 57  57 92  92 28  28 98  98 34  34 86  86 14  14 15  15 19  19 70  70 67  67 61  61 35  35 5  5 70  70 22  22 15  15 50  50 85  85 32  32 57  57 29  29 16
55 51  51 82  82 29  29 47  47 29  29 41  41 93  93 27  27 46  46 33  33 83  83 22  22 18  18 14  14 10  10 8  8 74  74 5  5 7  7 40  40 72  72 34  34 59  59 73  73 95  95 50  50 8  8 36  36 77  77 24  24 59  59 48  48 63  63 94  94 21  21 65  65 34  34 6  6 12  12 22  22 65  65 32  32 61  61 91  91 9  9 57  57 63  63 95  95 54  54 46

55 51  51 82  82 29  29 47  47 29  29 41  41 93  93 27  27 46  46 33  33 83  83 22  22 18  18 14  14 10  10 8  8 74  74 5  5 7  7 40  40 72  72 34  34 59  59 73  73 95  95 50  50 8  8 36  36 77  77 24  24 59  59 48  48 63  63 94  94 21  21 65  65 34  34 6  6 12  12 22  22 65  65 32  32 61  61 91  91 9  9 57  57 63  63 95  95 54  54 46
71 19  19 12  12 39  39 18  18 70  70 63  63 83  83 9  9 47  47 14  14 56  56 21  21 17  17 45  45 56  56 4  4 37  37 4  4 47  47 78  78 20  20 8  8 73  73 24  24 21  21 3  3 49  49 59  59 75  75 21  21 64  64 14  14 63  63 67  67 58  58 7  7 87  87 73  73 79  79 99  99 72  72 46  46 49  49 49  49 10  10 43  43 30  30 17  17 39  39 32

71 19  19 12  12 39  39 18  18 70  70 63  63 83  83 9  9 47  47 14  14 56  56 21  21 17  17 45  45 56  56 4  4 37  37 4  4 47  47 78  78 20  20 8  8 73  73 24  24 21  21 3  3 49  49 59  59 75  75 21  21 64  64 14  14 63  63 67  67 58  58 7  7 87  87 73  73 79  79 99  99 72  72 46  46 49  49 49  49 10  10 43  43 30  30 17  17 39  39 32
81 44  44 68  68 54  54 30  30 64  64 38  38 46  46 10  10 63  63 27  27 68  68 83  83 98  98 18  18 70  70 77  77 91  91 50  50 50  50 99  99 62  62 15  15 90  90 80  80 70  70 44  44 14  14 23  23 79  79 57  57 34  34 71  71 3  3 99  99 71  71 67  67 93  93 45  45 50  50 7  7 99  99 29  29 67  67 41  41 21  21 58  58 95  95 49  49 68  68 34

81 44  44 68  68 54  54 30  30 64  64 38  38 46  46 10  10 63  63 27  27 68  68 83  83 98  98 18  18 70  70 77  77 91  91 50  50 50  50 99  99 62  62 15  15 90  90 80  80 70  70 44  44 14  14 23  23 79  79 57  57 34  34 71  71 3  3 99  99 71  71 67  67 93  93 45  45 50  50 7  7 99  99 29  29 67  67 41  41 21  21 58  58 95  95 49  49 68  68 34
1 59  59 19  19 13  13 88  88 42  42 50  50 81  81 58  58 93  93 46  46 19  19 19  19 94  94 29  29 17  17 90  90 18  18 25  25 44  44 93  93 20  20 3  3 31  31 51  51 28  28 77  77 17  17 76  76 50  50 91  91 44  44 99  99 83  83 64  64 6  6 45  45 91  91 32  32 82  82 89  89 55  55 90  90 12  12 62  62 48  48 36  36 15  15 45  45 64  64 7

