40 62  62 77  77 15  15 5  5 13  13 39  39 8  8 93  93 61  61 38  38 87  87 36  36 63  63 68  68 76  76 82  82 39  39 75  75 93  93 2  2 8  8 91  91 35  35 62  62 59  59 31  31 1  1 14  14 37  37 58  58 34  34 82  82 16  16 70  70 85  85 59  59 1  1 5  5 60  60 47  47 43  43 87  87 84  84 22  22 3  3 21  21 73  73 30  30 95  95 10
99 2  2 63  63 10  10 5  5 30  30 63  63 35  35 34  34 63  63 72  72 7  7 14  14 72  72 70  70 42  42 36  36 81  81 5  5 99  99 57  57 15  15 29  29 85  85 73  73 15  15 29  29 27  27 91  91 96  96 9  9 54  54 9  9 36  36 88  88 82  82 95  95 48  48 44  44 5  5 76  76 39  39 22  22 70  70 23  23 64  64 20  20 14  14 79  79 39  39 29

99 2  2 63  63 10  10 5  5 30  30 63  63 35  35 34  34 63  63 72  72 7  7 14  14 72  72 70  70 42  42 36  36 81  81 5  5 99  99 57  57 15  15 29  29 85  85 73  73 15  15 29  29 27  27 91  91 96  96 9  9 54  54 9  9 36  36 88  88 82  82 95  95 48  48 44  44 5  5 76  76 39  39 22  22 70  70 23  23 64  64 20  20 14  14 79  79 39  39 29
75 52  52 36  36 60  60 29  29 73  73 87  87 5  5 59  59 80  80 33  33 63  63 1  1 93  93 82  82 88  88 62  62 88  88 52  52 67  67 5  5 59  59 56  56 75  75 49  49 21  21 48  48 88  88 25  25 15  15 57  57 88  88 24  24 68  68 48  48 25  25 92  92 58  58 26  26 59  59 60  60 1  1 72  72 23  23 27  27 9  9 99  99 34  34 13  13 91  91 94

75 52  52 36  36 60  60 29  29 73  73 87  87 5  5 59  59 80  80 33  33 63  63 1  1 93  93 82  82 88  88 62  62 88  88 52  52 67  67 5  5 59  59 56  56 75  75 49  49 21  21 48  48 88  88 25  25 15  15 57  57 88  88 24  24 68  68 48  48 25  25 92  92 58  58 26  26 59  59 60  60 1  1 72  72 23  23 27  27 9  9 99  99 34  34 13  13 91  91 94
34 72  72 32  32 68  68 70  70 85  85 51  51 37  37 68  68 74  74 74  74 82  82 2  2 49  49 86  86 37  37 24  24 37  37 24  24 65  65 92  92 60  60 57  57 82  82 83  83 58  58 76  76 73  73 63  63 43  43 23  23 97  97 36  36 74  74 32  32 77  77 29  29 66  66 85  85 52  52 99  99 26  26 29  29 59  59 10  10 73  73 56  56 7  7 84  84 88  88 23

34 72  72 32  32 68  68 70  70 85  85 51  51 37  37 68  68 74  74 74  74 82  82 2  2 49  49 86  86 37  37 24  24 37  37 24  24 65  65 92  92 60  60 57  57 82  82 83  83 58  58 76  76 73  73 63  63 43  43 23  23 97  97 36  36 74  74 32  32 77  77 29  29 66  66 85  85 52  52 99  99 26  26 29  29 59  59 10  10 73  73 56  56 7  7 84  84 88  88 23
14 85  85 84  84 93  93 89  89 83  83 7  7 85  85 14  14 26  26 80  80 50  50 69  69 21  21 96  96 99  99 16  16 22  22 68  68 25  25 62  62 91  91 48  48 9  9 59  59 53  53 59  59 38  38 22  22 30  30 71  71 18  18 68  68 83  83 80  80 78  78 61  61 20  20 79  79 39  39 51  51 70  70 39  39 95  95 11  11 64  64 82  82 61  61 98  98 17  17 33

